0000880a46a0edf6da316a279b5e7781,2.52,,,101,,,,0.5
0004293c361689e60de573380c4941e3,1.99,,,806,,,,1
00066894eb4f0466ac2823d06dbc1091,8.64,,,2435,,,,1.5
0007d34238f2c3d0f229fe80fcf30179,0.66,,,4169,,,,2
00086c2f0f92d2a0e8c81810c4b37032,2.44,,,4273,,,,2.5
000a503d7c8c4e1a1c5e645df3a60f52,1.44,,,2210,,,,3
000d730d5fbd761717bab953e6c30d90,6.32,,,1020,,,,3.5
000d95fe5195e970190e69aa5ee11b74,8.56,,,561,,,,4
0011a336ca2ecb9b273dc25357ab809d,1.83,,,344,,,,4.5
001593375289f210a8c2b04fd7dd2bf3,4.17,,,297,,,,5
001bafb993ce9feeadf8a10f7a6265a0,6.25,,,279,,,,5.5
001f2aa2b7db4548527ac06849acd2fa,1.95,,,191,,,,6
0022802dbc79f4ceb7e1ed0f7037eaa8,4.1,,,198,,,,6.5
0029c559c7f48f908c0cd8ca8ae0f055,2.58,,,137,,,,7
002ca2b5799c1c2a10222346cfe4779e,6.9,,,113,,,,7.5
002cdab38e73b15af67aebee061efb16,2.16,,,97,,,,8
00343e71578bbf4741b1fab6baf11244,1.1,,,91,,,,8.5
003a59ec08584c1b647e639402eb0f22,1.74,,,66,,,,9
003ab4a41da8fef5b773576291bf2da3,1.66,,,58,,,,9.5
00415c18d3f86e91b7b57bba9c769559,2.34,,,31,,,,10
0041936f3106f3a31293258efdc93067,2.88,,,23,,,,10.5
0041e492b19404aba965af500e1ea1ed,1.25,,,13,,,,11
0046426d09eb41ee681693909bf97df2,2.58,,,14,,,,11.5
0049333902fbfe0e9b94f7e1af6f5cb2,1.6,,,1,,,,12
004f3877e110e2c99e8fb7b87a2611c4,2.04,,,2,,,,12.5
0050e400f73d7e8f973281dafdb13b46,8.26,,,5,,,,13
0056f1d3ccbfb17cf5400865a2b7dc2b,6.48,,,1,,,,13.5
005c88a36d7898056452322aca0b62ed,1.33,,,1,,,,14
005d7776c86b03ea619013f52e785483,3.88,,,0,,,,14.5
005e89f3ca3b53fd3646ad0a58536a85,1.25,,,0,,,,15
00611405350d1ac16881781f2b8cdb91,6.62,,,0,,,,15.5
0065edf5e25e745c70e6339ada8dc4f2,1.34,,,1,,,,16
0069519ee5c3184a6fd9140e2d68a3a2,3.56,,,0,,,,16.5
006d769f3efa60b15edbbd38bb577ebc,2.48,,,0,,,,17
007171f5ec802aaef88955b289c5696d,1.98,,,0,,,,17.5
0072136918251c2ab225c71ae0a7f738,1.91,,,0,,,,18
00795569d40a9109fcf4b1541baa6e7e,2.34,,,1,,,,18.5
00821e0ecb572463f7649b35fed9e759,1.29,,,0,,,,19
0083ff33cc36b250908b4bd13e6f3202,3.03,,,0,,,,19.5
00867458e8ea4e9c9cc761a3b6ffaf89,2.52,,,0,,,,20
0088635579e2286558134d0b20e98553,2.91,,,0,,,,20.5
008c7de5852d09c72aa1d7040f98fa7e,2.13,,,0,,,,21
008ce72bb7aff83e215ada53a451365f,2.25,,,0,,,,21.5
008cf8bd708db3a98fe9e5b6ac1bec4c,1.68,,,0,,,,22
009b235a45e42fa7f5e2813f61d22f85,1.83,,,0,,,,22.5
009e2b9c21b5b71cdd7e6c90e0df9d50,2.55,,,0,,,,23
00a0bd463042fde7cc2cc7eaec6e0579,1.56,,,0,,,,23.5
00a7e499df8434c00568a7bf24e7c26c,1.57,,,0,,,,24
00ab583bb5206ccb4f5e3ea5139dc7d7,3.13,,,0,,,,24.5
00ae71fc57454bffc95848dca30b91b2,1.27,,,0,,,,25
00af0c874d6fa9884bcd63140894ce15,1.85,,,0,,,,25.5
00b22fc50af2451f6a50181737ccac27,0.96,,,0,,,,26
00b70d4233c0a6094f2a64fd1e0ce2fa,1.93,,,0,,,,26.5
00bf6027be06ca1d696b18822499e030,2.06,,,0,,,,27
00bf961ce5f45c9008ddc575c5b3e0c1,3.15,,,0,,,,27.5
00c60fbd145e1a50abffb7ed6a397a89,1.74,,,0,,,,28
00c75166d8522587ad801615ed5398e5,2.13,,,0,,,,28.5
00cb0a824c0d683d1de38f51a3ff3580,4.6,,,0,,,,29
00ce81d01333c16b852b460be46b6319,2.79,,,0,,,,29.5
00d499b4d1939498384d9d1f2bdff94b,0.58,,,0,,,,30
00d6f6c54a8d89469e28d7437dc3b5f5,2.59,,,0,,,,30.5
00d8314c43722659509e7f4c385465b3,0.92,,,0,,,,31
00d9222d08004a96f546c5ad991ec894,2.09,,,0,,,,31.5
00da00ac7701266444d8d045df464e02,1.95,,,0,,,,32
00e05f5cefbcfe184539686310a22573,3.52,,,0,,,,32.5
00e4bddc041e11c9575ee5cb6dc85f12,3.67,,,0,,,,33
00e540e77da8e1a7e7e733dbfb69de10,2.16,,,0,,,,33.5
00e8a8c3ed30ba4cd0cfc8604a28689e,1.2,,,0,,,,34
00e9671ee94a440eb8e599a44861de55,1.51,,,0,,,,34.5
00ec0f5da903f9ee63368b8c5956052c,1.76,,,0,,,,35
00f17c16afb8d18f98d6744698d8f8ba,3.33,,,0,,,,35.5
00f5056c37176998c443dc992c935db8,1.54,,,0,,,,36
00faf2989211ffdd18462729bafcdb54,1.8,,,0,,,,36.5
